"hanzi","pinyin","english_definition"
"蟪","wai6",
"旁","pong4",
"涼","loeng4",
"琐","so2",
"凟","duk6",
"𡟹","zi3",
"㧯","lou5",
"赥","hik1",
"語","jyu5",
"𦉝","xìn",
"㦇","luk6",
"𣯚","tà",
"䇂","hin1",
"摳","kau1",
"沮","zeoi1",
"猂","hon5",
"梬","jing5",
"豗","fui1",
"𦙜","nǎ",
"䁴","zin2",
"𤉏","shì",
"𦔗","biāo",
"𢖝","xiàn",
"摧","ceoi1",
"𣦭","gǔ",
"殒","wan5",
"燦","caan3",
"恝","gaat3",
"𤷅","yì,yá",
"枘","jeoi6",
"䬜","ci1",
"𠜼","haap3",
"𥷨","liè",
"㕠","soeng1",
"𥣫","miè",
"䮔","zuī",
"挙","geoi2",
"盀","hei2",
"𱥣","ruò",
"彏","fok3",
"𱖒","shàn",
"𨼑","chá",
"𠈹","jau4",
"𲊽","cí",
"䐲","zaap6",
"𩵗","sì",
"䪆","tai2",
"鐏","zeon1",
"鰺","sam1",
"𠝿","suǒ",
"𠨚","xī",
"顸","hon1",
"𦜜","shèn",
"𧱹","pū",
"𣏂","caat3",
"倚","ji2",
"戅","ngong6",
"樰","syut3",
"布","bou3",
"𡻌","zhū",
"𣈠","biàn",
"蠸","kyun4",
"䥲","au1",
"鏳","caang4",
"瑞","seoi6",
"勭","tung4",
"霤","lau6",
"𥪯","jiu4",
"㪕","diu6",
"𣖤","lái",
"䋐","yuè",
"内","noi6",
"𠘢","hé",
"鋥","caang3",
"髠","kwan1",
"𠿔","huì",
"𮤫","mun4",
"𧤃","bī",
"𨌯","juk6",
"𠓼","sip3",
"𬰃","mù",
"蟤","zyun1",
"旃","zin1",
"瑂","mei4",
"凙","dok6",
"𠢡","zhá",
"𣐵","yí",
"𩶄","zhú",
"赗","fung3",
"誠","sing4",
"𣫥","lí",
"㦉","yì",
"𤔉","páo",
"蛖","mong4",
"摵","saak3",
"醑","seoi2",
"𠉣","hūn,hùn",
"駌","jyun1",
"悫","kok3",
"鵨","syu1",
"梦","mung6",
"豉","si6",
"𤖓","zé",
"黾","man5",
"𩊚","lok3",
"𠰠","keoi5",
"𪏇","huǐ",
"䁦","ceoi3",
"𤤙","jai6",
"㲬","ziu1",
"𣛾","tòu",
"癒","jyu6",
"𠀷","jī",
"𩘇","hōng",
"𡅱","huàn",
"摡","goi3",
"殌","kyut3",
"𦰱","cháng",
"燠","juk1",
"恟","hung1",
"𩗚","yóu",
"枊","ngong6",
"𨿁","yuè",
"謵","zaap6",
"𠗂","hè",
"㔂","leon4",
"镏","lau4",
"钂","tong2",
"款","fun2",
"𧫴","gan2",
"彑","gai3",
"𣞘","xiān",
"𦬊","zi6",
"䐬","cou4",
"䪀","gun2",
"鑁","zung1",
"𨖌","yàng",
"鰼","zaap6",
"樻","gwai6",
"𣉪","huǎng",
"顲","lam5",
"𦢈","ji5",
"倔","gwat6",
"懷","waai4",
"𦷝","co1",
"樲","ji6",
"𠸖","ling4",
"巽","seon3",
"𢦀","zong3",
"䵦","xiè,wū",
"𡝰","laai1",
"蠲","gyun1",
"鵦","luk6",
"䥤","bok6",
"鏭","sik1",
"𠹤","wèi",
"瑐","zin2",
"𦘩","paa4",
"𡡂","yàng",
"霦","ban1",
"𰬟","wik6",
"䭽","qún",
"㪗","tau2",
"𡯏","ān",
"䋂","yáo",
"兿","ngai6",
"𦐽","xuān,líng",
"鋟","cim1",
"騚","cin4",
"𦴍","shé",
"𩿓","bào",
"𡛵","tuǒ",
"𥝥","jié",
"𦄋","diǎo",
"𤰉","jung6",
"蟦","fei4",
"施","si1",
"𩝖","cān",
"𣆄","joeng4",
"琼","king4",
"凛","lam5",
"𰹿","fu2",
"𫐎","ji2",
"趑","zi1",
"㦃","chǎn",
"禯","nung4",
"蛘","joeng5",
"摯","zi3",
"𢭥","biàn",
"醓","taam2",
"狮","si1",
"悭","haan1",
"㷀","king4",
"棘","gik1",
"豃","haam2",
"𤿨","xiào",
"支","zi1",
"䯜","tik1",
"𪕀","yuán",
"㲞","seot1",
"㼍","leoi5",
"𩧿","bik1",
"藄","kei4",
"摓","fung4",
"𱖅","biǎn",
"殎","haap3",
"燢","hok6",
"恙","joeng6",
"构","kau3",
"𩑈","gwong3",
"謷","ngou4",
"𠗿","shèn",
"𱊡","jiu5",
"䯀","nip6",
"捅","tung2",
"𪕃","fāng",
"歀","fun2",
"彋","wang4",
"𩏵","bǔ,bù",
"蚒","jim4",
"𪢮","lyun4",
"𣧎","guì",
"𬬿","ziu1",
"䐞","ruò",
"𡾅","lǜ",
"䩲","dou1",
"鐻","geoi6",
"㦹","yáng",
"𢛄","yà",
"𧸨","mián",
"顴","kyun4",
"𧷟","bīn",
"𥩤","hài",
"𫍴","lau4",
"穱","zoek3",
"倖","hang6",
"懱","mit6",
"覡","hat6",
"疘","gong1",
"𧍵","hú",
"𬳸","ak1",
"帯","daai3",
"𣄅","fǎng",
"𨬗","xū",
"䵨","mong4",
"䌊","yáo",
"䥞","giu2",
"鏯","song2",
