hanzi,other_hanzi,relation
䦎,𰿨,simplified
䦓,䀡,semantic
䦓,覘,semantic
䦖,𮸥,simplified
䦘,𨸄,simplified
䦛,䦶,simplified
䦝,𬮨,simplified
䦟,䦷,simplified
䦣,𮸦,simplified
䦪,𰿴,simplified
䦯,𫔵,simplified
䦱,𰿫,simplified
䦳,𨷿,simplified
䦶,䦛,traditional
䦷,䦟,traditional
䧞,𬮺,simplified
䧢,𨸟,simplified
䨘,霰,semantic
䨴,𱁒,simplified
䨶,𩆆,semantic
䩄,靦,traditional
䩞,韂,semantic
䩤,𮸮,simplified
䩫,𬰥,simplified
䪊,龓,semantic
䪊,𫖅,simplified
䪍,𱁽,simplified
䪏,𩏼,simplified
䪐,𱂅,simplified
䪓,𬰳,simplified
䪗,𩐀,simplified
䪘,𩏿,simplified
䪜,𬰷,simplified
䪝,𱂌,simplified
䪥,𱂎,simplified
䪴,𫖫,simplified
䪼,𱂢,simplified
䪾,𫖬,simplified
䪿,囟,semantic
䫀,𫖱,simplified
䫂,𫖰,simplified
䫈,𬱣,simplified
䫉,𬥈,simplified
䫌,𱂮,simplified
䫏,𬱦,simplified
䫐,𬃲,simplified
䫜,𬱮,simplified
䫟,𫖲,simplified
䫠,𬱰,simplified
䫥,𱆚,simplified
䫩,𬱬,simplified
䫴,𩖗,simplified
䫶,𫖺,simplified
䫻,𫗇,simplified
䫼,𬱷,simplified
䫾,𫠈,simplified
䬀,𱃖,simplified
䬂,𬱸,simplified
䬅,𱃚,simplified
䬍,𬲀,simplified
䬎,𬱿,simplified
䬐,𱃜,simplified
䬒,颼,semantic
䬓,𫗊,simplified
䬔,𱃞,simplified
䬘,𩙮,simplified
䬝,𩙯,simplified
䬞,𩙧,simplified
䬟,𱃙,simplified
䬡,翥,semantic
䬣,𱃱,simplified
䬧,𫗟,simplified
䬪,𱃳,simplified
䬫,𬲮,simplified
䬬,𱃵,simplified
䬯,𬲫,simplified
䬲,𬲯,simplified
䬳,𱃷,simplified
䬶,𬲷,simplified
䬹,𱃸,simplified
䬾,𬲻,simplified
䭀,𩠇,simplified
䭃,𩠈,simplified
䭅,𬲾,simplified
䭇,𬳀,simplified
䭈,𱄃,simplified
䭉,𬳅,simplified
䭑,𫗱,simplified
䭒,𬳋,simplified
䭓,𱃹,simplified
䭔,𫗰,simplified
䭕,𬲕,simplified
䭘,𬳑,simplified
䭞,𬲳,simplified
䭡,𱄉,simplified
䭢,𬲲,simplified
䭣,𬲶,simplified
䭪,𩞯,traditional
䭭,𬱯,simplified
䭾,馱,semantic
䭿,𩧭,simplified
䮂,𱅄,simplified
䮄,𫠊,simplified
䮈,𬳾,simplified
䮗,𬴁,simplified
䮝,𩧰,simplified
䮞,𩨁,simplified
䮠,𩧿,simplified
䮧,𱅠,simplified
䮫,𩨇,simplified
䮰,𫘮,simplified
䮲,𱅦,simplified
䮳,𩨏,simplified
䮸,𬳸,simplified
䮽,𬴍,simplified
䮾,𩧪,simplified
䮿,𬴏,simplified
䯀,䯅,simplified
䯃,𩣑,traditional
䯄,騧,traditional
䯅,䯀,traditional
䯌,尻,semantic
䯤,𩩈,simplified
䯻,髻,semantic
䰎,𱆃,simplified
䰐,𱆅,simplified
䰖,𱆈,simplified
䰗,鬮,semantic
䰗,𩰘,spoofing
䰞,煮,semantic
䰫,𱆙,simplified
䰲,𱇍,simplified
䰷,𬶆,simplified
䰻,𱇕,simplified
䰽,𱇑,simplified
䰾,鲃,simplified
䱀,𫚐,simplified
䱁,𫚏,simplified
䱂,𱇤,simplified
䱅,𱇚,simplified
䱅,鮇,spoofing
䱇,鱓,semantic
䱇,𱇞,simplified
䱌,𱇬,simplified
䱍,𬶊,simplified
䱍,䱎,z-variant
䱎,𱇥,simplified
䱎,䱍,z-variant
䱐,𱇲,simplified
䱒,𱇰,simplified
䱓,𬶓,simplified
䱗,𮬞,simplified
䱙,𩾈,simplified
䱚,𮬠,simplified
䱛,𮬟,simplified
䱜,𱇷,simplified
䱟,𱈀,simplified
䱡,𱇽,simplified
䱤,𱇻,simplified
䱥,𱇹,simplified
䱧,𫚠,simplified
䱬,𩾊,simplified
䱭,𱈇,simplified
䱰,𩾋,simplified
䱱,𬶤,simplified
䱴,𱈈,simplified
䱵,𮬢,simplified
䱷,漁,semantic
䱷,䲣,simplified
䱸,𫠑,simplified
䱹,𬶣,simplified
䱻,𮬡,simplified
䱽,鯧,semantic
䱽,䲝,simplified
䱾,𱈆,simplified
䲁,鳚,simplified
䲅,𫚜,simplified
䲉,𱈒,simplified
䲏,𬶗,simplified
䲕,𬶴,simplified
䲖,𩾂,simplified
䲗,𮬣,simplified
䲘,鳤,simplified
䲙,𬶎,simplified
䲚,𱈖,simplified
䲛,𱈛,simplified
䲝,䱽,traditional
䲞,𩶘,traditional
䲟,鮣,traditional
䲠,鰆,traditional
䲡,鰌,traditional
䲢,鰧,traditional
䲣,䱷,traditional
䲤,鿐,traditional
䲨,𬷾,simplified
䲰,𪉂,simplified
䲸,𮭡,simplified
䲹,𱉖,simplified
䲼,𬸆,simplified
䳅,𱉙,simplified
䳇,𱉞,simplified
䳍,𮭥,simplified
䳏,𱉤,simplified
䳒,𱉧,simplified
䳓,𱉦,simplified
䳕,𱉺,simplified
䳘,鵝,semantic
䳚,𱉶,simplified
䳜,𫛬,simplified
䳟,𱊂,simplified
䳢,𫛰,simplified
䳤,𫛮,simplified
䳥,𮹗,simplified
䳧,𫛺,simplified
䳨,𬸛,simplified
䳫,𫛼,simplified
䳭,𱉼,simplified
䳮,𱊓,simplified
䳲,𱊙,simplified
䳺,𱊣,simplified
䳽,𮹙,simplified
䴇,𱊪,simplified
䴈,𬸩,simplified
䴉,鹮,simplified
䴋,𫜅,simplified
䴏,𮹜,simplified
䴓,鳾,traditional
䴔,鵁,traditional
䴕,鴷,traditional
䴖,鶄,traditional
䴗,鶪,traditional
䴘,鷈,traditional
䴘,鷉,traditional
䴙,鸊,traditional
䴚,𮭰,simplified
䴝,𱊼,simplified
䴬,𪎈,simplified
䴭,𬹅,simplified
䴮,𱋆,simplified
䴱,𫜒,simplified
䴲,𱋊,simplified
䴳,𱋎,simplified
䴴,𪎋,simplified
䴵,𱋔,simplified
䴷,𬹉,simplified
䴸,麩,semantic
䴸,𱋗,simplified
䴹,餜,semantic
䴹,𱋙,simplified
䴺,𱋝,simplified
䴽,𫜔,simplified
䵂,𱋪,simplified
䵃,𱋫,simplified
䵆,𱋮,simplified
䵐,𱋴,simplified
䵑,䵒,semantic
䵒,䵑,semantic
