"hanzi","part_symbol","relation","position"
"傇","亻","component","1"
"傇","茸","component","2"
"傈","亻","component","1"
"傈","栗","component","2"
"傉","亻","component","1"
"傉","辱","component","2"
"傊","亻","component","1"
"傊","員","component","2"
"傋","亻","component","1"
"傋","冓","component","2"
"傌","亻","component","1"
"傌","馬","component","2"
"傍","亻","component","1"
"傍","旁","component","2"
"傎","亻","component","1"
"傎","真","component","2"
"傏","亻","component","1"
"傏","唐","component","2"
"傐","亻","component","1"
"傐","高","component","2"
"傑","亻","component","1"
"傑","桀","component","2"
"傒","亻","component","1"
"傒","奚","component","2"
"傓","亻","component","1"
"傓","扇","component","2"
"傔","亻","component","1"
"傔","兼","component","2"
"傕","亻","component","1"
"傕","隺","component","2"
"傖","亻","component","1"
"傖","倉","component","2"
"傗","亻","component","1"
"傗","畜","component","2"
"傘","人","component","1"
"備","亻","component","1"
"傚","亻","component","1"
"傚","效","component","2"
"傛","亻","component","1"
"傛","容","component","2"
"傜","亻","component","1"
"傜","䍃","component","2"
"傝","亻","component","1"
"傞","亻","component","1"
"傞","差","component","2"
"傟","亻","component","1"
"傟","翁","component","2"
"傠","亻","component","1"
"傠","討","component","2"
"傡","亻","component","1"
"傡","竝","component","2"
"傢","亻","component","1"
"傢","家","component","2"
"傣","亻","component","1"
"傣","泰","component","2"
"傤","亻","component","1"
"傤","载","component","2"
"傥","亻","component","1"
"傥","党","component","2"
"傦","亻","component","1"
"傦","骨","component","2"
"傧","亻","component","1"
"傧","宾","component","2"
"储","亻","component","1"
"储","诸","component","2"
"傩","亻","component","1"
"傩","难","component","2"
"傪","亻","component","1"
"傪","參","component","2"
"傫","亻","component","1"
"傫","累","component","2"
"催","亻","component","1"
"催","崔","component","2"
"傭","亻","component","1"
"傭","庸","component","2"
"傮","亻","component","1"
"傮","曹","component","2"
"傯","亻","component","1"
"傯","悤","component","2"
"傰","亻","component","1"
"傰","崩","component","2"
"傱","亻","component","1"
"傱","從","component","2"
"傲","亻","component","1"
"傲","敖","component","2"
"傳","亻","component","1"
"傳","專","component","2"
"傴","亻","component","1"
"傴","區","component","2"
"債","亻","component","1"
